iter	Passed	Remaining
0	3	1915
1	7	1830
2	11	1830
3	14	1819
4	18	1806
5	21	1789
6	25	1790
7	28	1782
8	32	1773
9	36	1764
10	39	1771
11	43	1782
12	47	1788
13	51	1789
14	55	1789
15	59	1790
16	63	1793
17	66	1792
18	70	1788
19	74	1784
20	78	1783
21	82	1781
22	85	1781
23	89	1780
24	93	1778
25	97	1776
26	101	1779
27	105	1779
28	110	1789
29	113	1783
30	117	1775
31	120	1766
32	124	1759
33	128	1756
34	132	1754
35	135	1750
36	139	1746
37	143	1748
38	147	1746
39	151	1740
40	154	1734
41	159	1734
42	163	1732
43	166	1727
44	170	1722
45	174	1721
46	178	1717
47	181	1712
48	185	1707
49	189	1702
50	194	1709
51	198	1708
52	202	1705
53	206	1707
54	211	1708
55	215	1709
56	219	1705
57	223	1705
58	227	1701
59	231	1697
60	235	1691
61	238	1686
62	242	1681
63	245	1675
64	249	1669
65	253	1665
66	256	1660
67	260	1654
68	263	1648
69	267	1642
70	270	1637
71	274	1631
72	277	1626
73	281	1621
74	285	1617
75	289	1612
76	292	1607
77	296	1603
78	300	1598
79	303	1593
80	307	1588
81	310	1583
82	314	1579
83	317	1573
84	321	1568
85	324	1564
86	328	1559
87	332	1554
88	335	1549
89	339	1544
90	342	1540
91	346	1535
92	349	1530
93	353	1525
94	356	1521
95	360	1516
96	363	1512
97	367	1507
98	370	1502
99	374	1498
100	378	1493
101	381	1488
102	385	1484
103	390	1486
104	393	1481
105	397	1476
106	400	1471
107	404	1468
108	408	1464
109	411	1460
110	415	1455
111	418	1451
112	422	1447
113	426	1442
114	429	1438
115	433	1434
116	436	1430
117	440	1426
118	444	1422
119	447	1418
120	451	1415
121	455	1411
122	459	1407
123	462	1403
124	466	1399
125	470	1397
126	474	1393
127	478	1389
128	481	1386
129	485	1383
130	489	1379
131	493	1375
132	496	1371
133	500	1366
134	503	1362
135	507	1358
136	511	1354
137	514	1349
138	518	1345
139	521	1341
140	525	1337
141	528	1333
142	532	1329
143	536	1325
144	539	1321
145	543	1317
146	546	1313
147	550	1309
148	553	1304
149	557	1301
150	562	1299
151	565	1295
152	569	1291
153	573	1287
154	576	1283
155	580	1279
156	583	1275
157	587	1271
158	590	1267
159	594	1263
160	598	1259
161	602	1256
162	606	1253
163	609	1249
164	613	1245
165	633	1274
166	637	1270
167	640	1265
168	644	1261
169	647	1257
170	651	1253
171	655	1249
172	658	1245
173	662	1241
174	666	1238
175	670	1234
176	674	1230
177	677	1225
178	681	1222
179	685	1218
180	688	1213
181	692	1210
182	696	1206
183	700	1203
184	704	1199
185	708	1195
186	711	1191
187	716	1188
188	720	1184
189	724	1181
190	727	1177
191	732	1174
192	735	1170
193	739	1166
194	743	1162
195	747	1158
196	750	1154
197	754	1150
198	758	1146
199	761	1142
200	765	1139
201	769	1135
202	773	1132
203	777	1128
204	781	1124
205	785	1121
206	789	1117
207	792	1113
208	796	1109
209	801	1106
210	804	1102
211	808	1098
212	812	1094
213	816	1091
214	819	1086
215	823	1082
216	826	1078
217	830	1074
218	834	1070
219	837	1066
220	841	1062
221	845	1058
222	849	1054
223	852	1050
224	856	1046
225	859	1042
226	863	1038
227	867	1034
228	870	1030
229	874	1026
230	877	1022
231	881	1018
232	885	1014
233	889	1010
234	892	1006
235	896	1002
236	899	998
237	903	994
238	907	990
239	910	986
240	914	982
241	917	978
242	921	974
243	924	970
244	929	966
245	932	963
246	936	959
247	940	955
248	944	951
249	947	947
250	951	943
251	954	939
252	958	935
253	962	931
254	966	928
255	970	924
256	974	921
257	978	917
258	982	913
259	985	910
260	989	906
261	993	902
262	997	898
263	1001	894
264	1004	891
265	1008	887
266	1012	883
267	1016	879
268	1019	875
269	1023	871
270	1027	867
271	1030	863
272	1034	859
273	1037	855
274	1041	852
275	1045	848
